pk,symbol,name,sector,industry
1,A,Agilent Technologies Inc,Capital Goods,Electrical Products
2,AA,Alcoa Corporation,Basic Industries,Metal Fabrications
3,AAC,Ares Acquisition Corporation,Finance,Business Services
4,AACG,ATA Creativity Global,Miscellaneous,Service to the Health Industry
5,AACI,Armada Acquisition Corp,,
6,AACIW,Armada Acquisition Corp,,
7,AADI,Aadi Bioscience Inc,Health Care,Biotechnology: Pharmaceutical Preparations
8,AAIC,Arlington Asset Investment Corp Class A (new),Consumer Services,Real Estate Investment Trusts
9,AAIC^B,Arlington Asset Investment Corp 7,,
10,AAIC^C,Arlington Asset Investment Corp 8,,
11,AAIN,Arlington Asset Investment Corp 6,,
12,AAL,American Airlines Group Inc,Transportation,Air Freight/Delivery Services
13,AAM^A,Apollo Asset Management Inc,,
14,AAM^B,Apollo Asset Management Inc,,
15,AAMC,Altisource Asset Management Corp Com,Finance,Investment Managers
16,AAME,Atlantic American Corporation,Finance,Life Insurance
17,AAN,Aarons Holdings Company Inc,Miscellaneous,Diversified Commercial Services
18,AAOI,Applied Optoelectronics Inc,Technology,Semiconductors
19,AAON,AAON Inc,Capital Goods,Industrial Machinery/Components
20,AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores
21,AAPL,Apple Inc,Technology,Computer Manufacturing
22,AAQC,Accelerate Acquisition Corp,,
23,AAT,American Assets Trust Inc,Consumer Services,Real Estate Investment Trusts
24,AATC,Autoscope Technologies Corporation,Capital Goods,Industrial Machinery/Components
25,AAU,Almaden Minerals Ltd,,
26,AAWW,Atlas Air Worldwide Holdings NEW,Transportation,Transportation Services
27,AB,AllianceBernstein Holding L,Finance,Investment Managers
28,ABB,ABB Ltd,Consumer Durables,Electrical Products
29,ABBV,AbbVie Inc,Health Care,Other Pharmaceuticals
30,ABC,AmerisourceBergen Corporation,Health Care,Other Pharmaceuticals
31,ABCB,Ameris Bancorp,Finance,Major Banks
32,ABCL,AbCellera Biologics Inc,,
33,ABCM,Abcam plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
34,ABEO,Abeona Therapeutics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
35,ABEV,Ambev S,Consumer Non-Durables,Beverages (Production/Distribution)
36,ABG,Asbury Automotive Group Inc,Consumer Services,Other Specialty Stores
37,ABGI,ABG Acquisition Corp,Finance,Business Services
38,ABIO,ARCA biopharma Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
39,ABM,ABM Industries Incorporated,Technology,Diversified Commercial Services
40,ABMD,ABIOMED Inc,Health Care,Medical/Dental Instruments
41,ABNB,Airbnb Inc,Transportation,Other Consumer Services
42,ABOS,Acumen Pharmaceuticals Inc,Health Care,Biotechnology: Pharmaceutical Preparations
43,ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts
44,ABR^D,Arbor Realty Trust 6,,
45,ABR^E,Arbor Realty Trust 6,,
46,ABR^F,Arbor Realty Trust 6,,
47,ABSI,Absci Corporation,Health Care,Biotechnology: Pharmaceutical Preparations
48,ABST,Absolute Software Corporation,,
49,ABT,Abbott Laboratories,Health Care,Medical/Dental Instruments
50,ABTX,Allegiance Bancshares Inc,Finance,Major Banks
51,ABUS,Arbutus Biopharma Corporation,,
52,ABVC,ABVC BioPharma Inc,Health Care,Biotechnology: Pharmaceutical Preparations
53,AC,Associated Capital Group Inc,Finance,Investment Bankers/Brokers/Service
54,ACA,Arcosa Inc,Capital Goods,Engineering & Construction
55,ACAB,Atlantic Coastal Acquisition Corp,,
56,ACABU,Atlantic Coastal Acquisition Corp,,
57,ACABW,Atlantic Coastal Acquisition Corp,,
