pk,symbol,name,name_a
3359,GOOG,Alphabet Inc,alphabet
21,AAPL,Apple Inc,apple
4996,MSFT,Microsoft Corporation,microsoft
3359,GOOG,Alphabet Inc,google
2746,FB,Meta Platforms Inc,facebook
477,AMZN,Amazon,amazon
7502,TSLA,Tesla Inc,tesla
7644,UNH,UnitedHealth Group Incorporated  (DE),unitedhealth
4148,JNJ,Johnson & Johnson,"johnson,&"
7719,V,Visa Inc,visa
5466,OAK^A,Oaktree Capital Group LLC 6,"oaktree,capital"
7504,TSM,Taiwan Semiconductor Manufacturing Company Ltd,tsmc
5400,NVDA,NVIDIA Corporation,nvidia
8149,XOM,Exxon Mobil Corporation,exxon
5853,PG,Procter & Gamble Company (The),procter
8050,WMT,Walmart Inc,walmart
4163,JPM,JP Morgan Chase & Co,"jp,morgan"
859,BABA,Alibaba Group Holding Limited,"alibaba,group"
4644,MA,Mastercard Incorporated,mastercard
4519,LLY,Eli Lilly and Company,"eli,lilly"
5832,PFE,Pfizer Inc,pfizer
3547,HD,Home Depot Inc,"home,depot"
2042,CVX,Chevron Corporation,chevron
860,BAC,Bank of America Corporation,"bank,of,america"
4290,KO,Coca-Cola Company (The),"coca,cola"
29,ABBV,AbbVie Inc,abbvie
5411,NVO,Novo Nordisk A/S,nordisk
5818,PEP,PepsiCo Inc,pepsico
4967,MRK,Merck & Company Inc,merck
1842,COST,Costco Wholesale Corporation,costco
7391,TMO,Thermo Fisher Scientific Inc,"thermo,fisher"
7378,TM,Toyota Motor Corporation,toyota
3808,ICE,Intercontinental Exchange Inc,"ice,futures"
7940,VZ,Verizon Communications Inc,verizon
849,AZN,AstraZeneca PLC,astrazeneca
793,AVGO,Broadcom Inc,broadcom
49,ABT,Abbott Laboratories,abbott
2183,DHR,Danaher Corporation,danaher
5605,ORCL,Oracle Corporation,oracle
4712,MCD,McDonald's Corporation,mcdonald's
5415,NVS,Novartis AG,novartis
127,ADBE,Adobe Inc,adobe
666,ASML,ASML Holding N,asml
6738,SHEL,Royal Dutch Shell PLC,"royal,dutch"
1717,CMCSA,Comcast Corporation,comcast
1940,CSCO,Cisco Systems Inc,cisco
2196,DIS,Walt Disney Company (The),"walt,disney"
96,ACN,Accenture plc Class A Ordinary Shares (Ireland),accenture
1911,CRM,Salesforce,salesforce
7397,TMUS,T-Mobile US Inc,t-mobile
5227,NKE,Nike Inc,nike
7657,UPS,United Parcel Service Inc,"united,parcel"
1154,BMY,Bristol-Myers Squibb Company,squibb
5154,NEE,NextEra Energy Inc,"nextera,energy"
3967,INTC,Intel Corporation,intel
7993,WFC,Wells Fargo & Company,"wells,fargo"
7182,T,AT&T Inc,at&t
6179,QCOM,QUALCOMM Incorporated,"qualcomm,incorporated"
5943,PM,Philip Morris International Inc,"philip,morris"
7569,TXN,Texas Instruments Incorporated,"texas,instruments"
6495,RTX,Raytheon Technologies Corporation,raytheon
4493,LIN,Linde plc Ordinary Share,linde
6524,RY,Royal Bank Of Canada,"royal,bank"
1036,BHP,BHP Group Limited,bhp
4979,MS,Morgan Stanley,"morgan,stanley"
7648,UNP,Union Pacific Corporation,"union,pacific"
438,AMGN,Amgen Inc,amgen
7515,TTE,TotalEnergies SE,totalenergies
3693,HSBC,HSBC Holdings plc,hsbc
433,AMD,Advanced Micro Devices Inc,"advanced,micro"
3797,IBM,International Business Machines Corporation,ibm
6918,SNY,Sanofi ADS,sanofi
2038,CVS,CVS Health Corporation,cvs
