news_id,company_word,pk,symbol,name,stock_keyword_5
345585,coca cola,4290,KO,Coca-Cola Company (The),"['nestle', 'starbucks', 'bottled', 'market', 'cola']"
345585,unilever,7628,UL,Unilever PLC,"['nestle', 'starbucks', 'bottled', 'market', 'cola']"
345585,diageo,2152,DEO,Diageo plc,"['nestle', 'starbucks', 'bottled', 'market', 'cola']"
345585,anheuser busch,1306,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),"['nestle', 'starbucks', 'bottled', 'market', 'cola']"
345585,starbucks,6606,SBUX,Starbucks Corporation,"['nestle', 'starbucks', 'bottled', 'market', 'cola']"
345586,royal dutch,6738,SHEL,Royal Dutch Shell PLC,"['profit', 'trader', 'trading', 'earnings', 'market']"
345586,equinor,2585,EQNR,Equinor ASA,"['profit', 'trader', 'trading', 'earnings', 'market']"
345586,bp,1191,BP,BP p,"['profit', 'trader', 'trading', 'earnings', 'market']"
345586,eni,2369,E,ENI S,"['profit', 'trader', 'trading', 'earnings', 'market']"
345586,natural gas,5202,NGS,Natural Gas Services Group Inc,"['profit', 'trader', 'trading', 'earnings', 'market']"
345590,boeing,858,BA,Boeing Company (The),"['airbus', 'boeing', 'a', 'restructuring', 'airline']"
345591,air transport,744,ATSG,Air Transport Services Group Inc,"['spain', 'catalonia', 'barcelona', 'coronavirus', 'costa']"
345595,edison international,2463,EIX,Edison International,"['insurance', 'blaze', 'pg', 'wildfire', 'coverage']"
345595,pacific gas,5750,PCG,Pacific Gas & Electric Co,"['insurance', 'blaze', 'pg', 'wildfire', 'coverage']"
345595,southern california,6616,SCE^J,Southern California Edison Company 5,"['insurance', 'blaze', 'pg', 'wildfire', 'coverage']"
345620,facebook,2746,FB,Meta Platforms Inc,"['walmart', 'retailer', 'retail', 'employee', 'layoff']"
345620,walmart,8050,WMT,Walmart Inc,"['walmart', 'retailer', 'retail', 'employee', 'layoff']"
345620,costco,1842,COST,Costco Wholesale Corporation,"['walmart', 'retailer', 'retail', 'employee', 'layoff']"
345620,s&p,6958,SPGI,S&P Global Inc,"['walmart', 'retailer', 'retail', 'employee', 'layoff']"
345620,dollar general,2161,DG,Dollar General Corporation,"['walmart', 'retailer', 'retail', 'employee', 'layoff']"
345620,levi strauss,4433,LEVI,Levi Strauss & Co Class A,"['walmart', 'retailer', 'retail', 'employee', 'layoff']"
345620,body works,916,BBWI,Bath & Body Works Inc,"['walmart', 'retailer', 'retail', 'employee', 'layoff']"
345620,s&p 500,1341,BXMX,Nuveen S&P 500 Buy-Write Income Fd,"['walmart', 'retailer', 'retail', 'employee', 'layoff']"
345620,recruiter,6271,RCRT,Recruiter,"['walmart', 'retailer', 'retail', 'employee', 'layoff']"
345622,royal dutch,6738,SHEL,Royal Dutch Shell PLC,"['eni', 'economy', 'quarterly', 'market', 'stock']"
345622,equinor,2585,EQNR,Equinor ASA,"['eni', 'economy', 'quarterly', 'market', 'stock']"
345622,eni,2369,E,ENI S,"['eni', 'economy', 'quarterly', 'market', 'stock']"
345624,chevron,2042,CVX,Chevron Corporation,"['methane', 'tianjin', 'fuel', 'tariff', 'gas']"
345624,royal dutch,6738,SHEL,Royal Dutch Shell PLC,"['methane', 'tianjin', 'fuel', 'tariff', 'gas']"
345624,dow,2267,DOW,Dow Inc,"['methane', 'tianjin', 'fuel', 'tariff', 'gas']"
345624,natural gas,5202,NGS,Natural Gas Services Group Inc,"['methane', 'tianjin', 'fuel', 'tariff', 'gas']"
345624,guardian,7615,UG,United-Guardian Inc,"['methane', 'tianjin', 'fuel', 'tariff', 'gas']"
345626,fedex,2784,FDX,FedEx Corporation,"['jet', 'airfare', 'jetsuite', 'businessweek', 'aviation']"
345626,cross country,1456,CCRN,Cross Country Healthcare Inc,"['jet', 'airfare', 'jetsuite', 'businessweek', 'aviation']"
345635,first community,2762,FCBC,First Community Bankshares Inc,"['coronavirus', 'vietnam', 'hanoi', 'virus', 'minh']"
345636,renewable energy,6299,REGI,Renewable Energy Group Inc,"['beef', 'meat', 'bovine', 'grazing', 'cow']"
345637,google,3359,GOOG,Alphabet Inc,"['discrimination', 'harassment', 'misconduct', 'discriminatory', 'harassing']"
345637,starbucks,6606,SBUX,Starbucks Corporation,"['discrimination', 'harassment', 'misconduct', 'discriminatory', 'harassing']"
345637,general motors,3298,GM,General Motors Company,"['discrimination', 'harassment', 'misconduct', 'discriminatory', 'harassing']"
345637,my size,5087,MYSZ,My Size Inc,"['discrimination', 'harassment', 'misconduct', 'discriminatory', 'harassing']"
345638,msci,4991,MSCI,MSCI Inc,"['stock', 'emerging', 'investment', 'market', 'bullish']"
345638,emerging markets,3657,HORI,Emerging Markets Horizon Corp,"['stock', 'emerging', 'investment', 'market', 'bullish']"
345667,united airlines,7585,UAL,United Airlines Holdings Inc,"['furlough', 'airline', 'carrier', 'covid', 'united']"
347823,united airlines,7585,UAL,United Airlines Holdings Inc,"['united', 'airline', 'owned', 'share', 'carrier']"
347824,barrick gold,3354,GOLD,Barrick Gold Corporation,"['dushnisky', 'ceo', 'anglogold', 'barrick', 'gold']"
347824,anglogold ashanti,755,AU,AngloGold Ashanti Limited,"['dushnisky', 'ceo', 'anglogold', 'barrick', 'gold']"
347821,apple,21,AAPL,Apple Inc,"['exxon', 'petroleum', 'chevron', 'shale', 'earnings']"
347821,facebook,2746,FB,Meta Platforms Inc,"['exxon', 'petroleum', 'chevron', 'shale', 'earnings']"
347821,exxon,8149,XOM,Exxon Mobil Corporation,"['exxon', 'petroleum', 'chevron', 'shale', 'earnings']"
347821,chevron,2042,CVX,Chevron Corporation,"['exxon', 'petroleum', 'chevron', 'shale', 'earnings']"
347821,royal dutch,6738,SHEL,Royal Dutch Shell PLC,"['exxon', 'petroleum', 'chevron', 'shale', 'earnings']"
347821,s&p,6958,SPGI,S&P Global Inc,"['exxon', 'petroleum', 'chevron', 'shale', 'earnings']"
347821,s&p 500,1341,BXMX,Nuveen S&P 500 Buy-Write Income Fd,"['exxon', 'petroleum', 'chevron', 'shale', 'earnings']"
347821,permian basin,5741,PBT,Permian Basin Royalty Trust,"['exxon', 'petroleum', 'chevron', 'shale', 'earnings']"
347839,squibb,1154,BMY,Bristol-Myers Squibb Company,"['taisho', 'takeda', 'pharmaceutical', 'yen', 'market']"
347839,takeda pharmaceutical,7190,TAK,Takeda Pharmaceutical Company Limited,"['taisho', 'takeda', 'pharmaceutical', 'yen', 'market']"
347857,pfizer,5832,PFE,Pfizer Inc,"['pfizer', 'regulatory', 'biotech', 'vaccine', 'pharma']"
347857,astrazeneca,849,AZN,AstraZeneca PLC,"['pfizer', 'regulatory', 'biotech', 'vaccine', 'pharma']"
347857,moderna,4970,MRNA,Moderna Inc,"['pfizer', 'regulatory', 'biotech', 'vaccine', 'pharma']"
347857,biontech,1169,BNTX,BioNTech SE American Depositary Share,"['pfizer', 'regulatory', 'biotech', 'vaccine', 'pharma']"
347881,microsoft,4996,MSFT,Microsoft Corporation,"['wwe', 'mcmahon', 'wrestling', 'wrestler', 'vince']"
347881,s&p,6958,SPGI,S&P Global Inc,"['wwe', 'mcmahon', 'wrestling', 'wrestler', 'vince']"
347881,world wrestling,8117,WWE,World Wrestling Entertainment Inc,"['wwe', 'mcmahon', 'wrestling', 'wrestler', 'vince']"
347881,s&p 500,1341,BXMX,Nuveen S&P 500 Buy-Write Income Fd,"['wwe', 'mcmahon', 'wrestling', 'wrestler', 'vince']"
347882,honeywell,3652,HON,Honeywell International Inc,"['pandemic', 'respirator', 'mask', 'covid', 'outbreak']"
347882,3m,4888,MMM,3M Company,"['pandemic', 'respirator', 'mask', 'covid', 'outbreak']"
347882,premier inc,5896,PINC,Premier Inc,"['pandemic', 'respirator', 'mask', 'covid', 'outbreak']"
347882,first wave,3068,FWBI,First Wave BioPharma Inc,"['pandemic', 'respirator', 'mask', 'covid', 'outbreak']"
347882,southern california,6616,SCE^J,Southern California Edison Company 5,"['pandemic', 'respirator', 'mask', 'covid', 'outbreak']"
351760,citigroup,1360,C,Citigroup Inc,"['siemens', 'coronavirus', 'market', 'mri', 'cost']"
351760,barclays,941,BCS,Barclays PLC,"['siemens', 'coronavirus', 'market', 'mri', 'cost']"
351760,deutsche bank,2105,DB,Deutsche Bank AG,"['siemens', 'coronavirus', 'market', 'mri', 'cost']"
351761,capital city,1437,CCBG,Capital City Bank Group,"['indonesian', 'indonesia', 'jakarta', 'manila', 'philippine']"
351762,microsoft,4996,MSFT,Microsoft Corporation,"['hotel', 'hyatt', 'motel', 'lodging', 'booking']"
351762,hyatt hotels,3484,H,Hyatt Hotels Corporation,"['hotel', 'hyatt', 'motel', 'lodging', 'booking']"
351762,wyndham hotels,8006,WH,Wyndham Hotels & Resorts Inc,"['hotel', 'hyatt', 'motel', 'lodging', 'booking']"
351762,service properties,7125,SVC,Service Properties Trust,"['hotel', 'hyatt', 'motel', 'lodging', 'booking']"
351764,amazon,477,AMZN,Amazon,"['blackbird', 'venture', 'investment', 'invest', 'invested']"
351764,atlassian,7265,TEAM,Atlassian Corporation,"['blackbird', 'venture', 'investment', 'invest', 'invested']"
351764,catalyst partners,1855,CPAR,Catalyst Partners Acquisition Corp,"['blackbird', 'venture', 'investment', 'invest', 'invested']"
353874,walt disney,2196,DIS,Walt Disney Company (The),"['stock', 'stocksthe', 'investor', 'trader', 'market']"
353874,s&p,6958,SPGI,S&P Global Inc,"['stock', 'stocksthe', 'investor', 'trader', 'market']"
353874,msci,4991,MSCI,MSCI Inc,"['stock', 'stocksthe', 'investor', 'trader', 'market']"
353874,novavax,5396,NVAX,Novavax Inc,"['stock', 'stocksthe', 'investor', 'trader', 'market']"
353874,s&p 500,1341,BXMX,Nuveen S&P 500 Buy-Write Income Fd,"['stock', 'stocksthe', 'investor', 'trader', 'market']"
353874,asia pacific,560,APWC,Asia Pacific Wire & Cable Corporation Ltd,"['stock', 'stocksthe', 'investor', 'trader', 'market']"
353889,royal bank,6524,RY,Royal Bank Of Canada,"['yield', 'bond', 'australian', 'currency', 'sydney']"
353889,suisse group,1937,CS,Credit Suisse Group,"['yield', 'bond', 'australian', 'currency', 'sydney']"
353889,credit suisse,1626,CIK,Credit Suisse Asset Management Income Fund Inc,"['yield', 'bond', 'australian', 'currency', 'sydney']"
353892,range resources,6478,RRC,Range Resources Corporation,"['range', 'shale', 'commodity', 'stock', 'sale']"
353892,natural gas,5202,NGS,Natural Gas Services Group Inc,"['range', 'shale', 'commodity', 'stock', 'sale']"
353918,bank of america,860,BAC,Bank of America Corporation,"['coronavirus', 'risk', 'vaccine', 'dollar', 'pathogen']"
353921,nomura,5261,NMR,Nomura Holdings Inc ADR,"['easing', 'bank', 'thailand', 'bangkok', 'economist']"
