,symbol,name,company,stock_keyword,stock_frequency_keyword_4,stock_frequency_keyword_5
0,KO,Coca-Cola Company (The),coca cola,"['nestle', 'starbucks', 'bottled', 'market', 'colapostmaster', 'usps', 'postal', 'fedex', 'mailgilead', 'pharmaceutical', 'chemotherapy', 'drugmaker', 'medicationhong', 'shanghai', 'marriott', 'chinese', 'hk']","['nestle', 'starbucks', 'bottled', 'market']","['nestle', 'starbucks', 'bottled', 'market', 'colapostmaster']"
1,UL,Unilever PLC,unilever,"['nestle', 'starbucks', 'bottled', 'market', 'coladeforestation', 'palm', 'indonesia', 'refinery', 'oilagricultural', 'livestock', 'agri', 'fertilizer', 'farmermarket', 'stock', 'investor', 'bse', 'investmentgoro', 'vale', 'mined', 'caledonia', 'mining']","['nestle', 'starbucks', 'bottled', 'market']","['nestle', 'starbucks', 'bottled', 'market', 'coladeforestation']"
2,DEO,Diageo plc,diageo,"['nestle', 'starbucks', 'bottled', 'market', 'coladiageo', 'lvmh', 'company', 'inventory', 'subsidiaryfinancing', 'bankruptcy', 'financial', 'fund', 'funding']","['nestle', 'starbucks', 'bottled', 'market']","['nestle', 'starbucks', 'bottled', 'market', 'coladiageo']"
3,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),anheuser busch,"['nestle', 'starbucks', 'bottled', 'market', 'colainvestor', 'invest', 'domingo', 'investment', 'domingothe']","['nestle', 'starbucks', 'bottled', 'market']","['nestle', 'starbucks', 'bottled', 'market', 'colainvestor']"
4,SBUX,Starbucks Corporation,starbucks,"['nestle', 'starbucks', 'bottled', 'market', 'coladiscrimination', 'harassment', 'misconduct', 'discriminatory', 'harassingstarbucks', 'coffee', 'baristas', 'brewing', 'roasterbanking', 'financing', 'shenzhen', 'suisse', 'goldmannestle', 'nest', 'biotech', 'aimmune', 'peanutburger', 'mcdonald', 'shanghai', 'chinaboth', 'meathuawei', 'shenzhen', 'chinese', 'beijing', 'chinatariff', 'shortage', 'demand', 'supply', 'canadian']","['shenzhen', 'nestle', 'starbucks', 'bottled']","['shenzhen', 'nestle', 'starbucks', 'bottled', 'market']"
5,SHEL,Royal Dutch Shell PLC,royal dutch,"['profit', 'trader', 'trading', 'earnings', 'marketeni', 'economy', 'quarterly', 'market', 'stockmethane', 'tianjin', 'fuel', 'tariff', 'gasexxon', 'petroleum', 'chevron', 'shale', 'earningsrefinery', 'trader', 'oil', 'perez', 'lukoilopec', 'saudi', 'dividend', 'oil', 'stockopec', 'oil', 'petroleum', 'forecast', 'refinerysaudi', 'refinery', 'oil', 'exxon', 'petrochemicalhurricane', 'gulf', 'katrina', 'storm', 'stormsmarcopipeline', 'pipe', 'merkel', 'liquefied', 'gazpromlagos', 'nigeria', 'nigerian', 'richest', 'petroleumturbine', 'offshore', 'renewable', 'gigawatts', 'taiwanfuel', 'petroleum', 'gas', 'renewables', 'liquefiedrenewable', 'renewables', 'methane', 'fuel', 'gasastrazeneca', 'vaccine', 'neurological', 'coronavirus', 'myelitis']","['oil', 'petroleum', 'trader', 'fuel']","['oil', 'petroleum', 'trader', 'fuel', 'renewables']"
6,EQNR,Equinor ASA,equinor,"['profit', 'trader', 'trading', 'earnings', 'marketeni', 'economy', 'quarterly', 'market', 'stockrefinery', 'gulf', 'hurricane', 'oil', 'tankerturbine', 'offshore', 'renewable', 'gigawatts', 'taiwaninflation', 'monetary', 'gdp', 'fiscal', 'currencybank', 'lagos', 'nigerian', 'loan', 'nairadrought', 'agriculture', 'climate', 'agricultural', 'rainfall']","['profit', 'trader', 'trading', 'earnings']","['profit', 'trader', 'trading', 'earnings', 'marketeni']"
7,BP,BP p,bp,"['profit', 'trader', 'trading', 'earnings', 'marketopec', 'saudi', 'dividend', 'oil', 'stockfalkland', 'falklands', 'petroleum', 'oilhurricane', 'gulf', 'katrina', 'storm', 'stormsmarcopalantir', 'shareholder', 'stock', 'goldman', 'companyturbine', 'offshore', 'renewable', 'gigawatts', 'taiwaninflation', 'monetary', 'gdp', 'fiscal', 'currencybank', 'lagos', 'nigerian', 'loan', 'nairadrought', 'agriculture', 'climate', 'agricultural', 'rainfallrefinance', 'debt', 'borrowing', 'uber', 'cashocado', 'retailer', 'supermarket', 'demand', 'retail']","['profit', 'trader', 'trading', 'earnings']","['profit', 'trader', 'trading', 'earnings', 'marketopec']"
8,E,ENI S,eni,"['profit', 'trader', 'trading', 'earnings', 'marketeni', 'economy', 'quarterly', 'market', 'stockbanking', 'fiscal', 'bank', 'thai', 'thailand']","['profit', 'trader', 'trading', 'earnings']","['profit', 'trader', 'trading', 'earnings', 'marketeni']"
9,NGS,Natural Gas Services Group Inc,natural gas,"['profit', 'trader', 'trading', 'earnings', 'marketmethane', 'tianjin', 'fuel', 'tariff', 'gasrange', 'shale', 'commodity', 'stock', 'salesasol', 'sa', 'asset', 'depreciation', 'corpblackout', 'blackoutspower', 'blackoutsregulators', 'california', 'californiautilitieshurricane', 'gulf', 'katrina', 'storm', 'stormsmarcopipeline', 'methane', 'compressor', 'regulator', 'gashurricane', 'laura', 'gulf', 'katrina', 'stormrefinery', 'hurricane', 'gulf', 'hurricanegasoline', 'petroleumhurricane', 'laura', 'gulf', 'storm', 'katrinacoal', 'renewables', 'renewable', 'gas', 'fuelpipeline', 'pipe', 'merkel', 'liquefied', 'gazpromtanker', 'libyan', 'libya', 'oil', 'suezmaxqatar', 'worker', 'workforce', 'hiring', 'employeerefinery', 'oil', 'petroleum', 'barrel', 'demandcommodity', 'china', 'trading', 'economy', 'beijingfuel', 'petroleum', 'gas', 'renewables', 'liquefiedtianjin', 'guangdong', 'yuan', 'shenzhen', 'beijingrenewable', 'renewables', 'methane', 'fuel', 'gasturbine', 'offshore', 'renewable', 'wind', 'onshoredrugmakers', 'medicare', 'pharmaceutical', 'pharmacy', 'prescriptionrefinance', 'debt', 'borrowing', 'uber', 'cashstock', 'dow', 'market', 'fed', 'inflationcoffee', 'bean', 'starbucks', 'nespresso', 'podsmeanwhileporsche', 'sale', 'decline', 'market', 'euroagarwal', 'shareholder', 'investor', 'corp', 'goldmanmining', 'refinery', 'commodity', 'copper', 'minerriksbank', 'bank', 'transparency', 'lender', 'market']","['gulf', 'renewables', 'market', 'trading']","['gulf', 'renewables', 'market', 'trading', 'fuel']"
10,BA,Boeing Company (The),boeing,"['airbus', 'boeing', 'a', 'restructuring', 'airlineboeing', 'faa', 'enforcement', 'regulatorboeing', 'airline', 'airbus', 'bankruptcy', 'collapseboeing', 'faa', 'agency', 'reutersboeing', 'jet', 'airline', 'jetblue', 'airbusstock', 'stocksthe', 'goldman', 'dow', 'nyselayoff', 'boeing', 'jetliner', 'airbuspipeline', 'pipe', 'merkel', 'liquefied', 'gazpromryanair', 'airline', 'iata', 'boeing', 'airbuspostmaster', 'usps', 'postal', 'fedex', 'mailavolkswagen', 'daimler', 'mercedes', 'automotive', 'volvocoronavirus', 'singapore', 'covid', 'quarantine', 'infectionaluminium', 'aluminum', 'smelter', 'commodity', 'alcoatreasury', 'stimulus', 'fed', 'stock', 'recoveryboj', 'yen', 'monetary', 'economy', 'economicuae', 'dhabi', 'debtkbbo', 'debt', 'emirati']","['boeing', 'airline', 'airbus', 'faa']","['boeing', 'airline', 'airbus', 'faa', 'a']"
11,ATSG,Air Transport Services Group Inc,air transport,"['spain', 'catalonia', 'barcelona', 'coronavirus', 'costaboeing', 'airline', 'airbus', 'bankruptcy', 'collapseheadrest', 'seating', 'airline', 'cabin', 'coronavirusethiopia', 'ethiopian', 'kenya', 'regulation', 'africaeuro', 'bank', 'loan', 'borrowing', 'liquidityrecession', 'argentina', 'economy', 'inflation', 'economic']","['airline', 'spain', 'catalonia', 'barcelona']","['airline', 'spain', 'catalonia', 'barcelona', 'coronavirus']"
12,EIX,Edison International,edison international,"['insurance', 'blaze', 'pg', 'wildfire', 'coverage']","['insurance', 'blaze', 'pg', 'wildfire']","['insurance', 'blaze', 'pg', 'wildfire', 'coverage']"
13,PCG,Pacific Gas & Electric Co,pacific gas,"['insurance', 'blaze', 'pg', 'wildfire', 'coverage']","['insurance', 'blaze', 'pg', 'wildfire']","['insurance', 'blaze', 'pg', 'wildfire', 'coverage']"
14,SCE^J,Southern California Edison Company 5,southern california,"['insurance', 'blaze', 'pg', 'wildfire', 'coveragepandemic', 'respirator', 'mask', 'covid', 'outbreakmerger', 'acquisition', 'bmw', 'acquire', 'sourcingblackout', 'blackoutspower', 'blackoutsregulators', 'california', 'californiautilitiesblackout', 'demand', 'california', 'gigawatts', 'megawattpandemic', 'coronavirus', 'covid', 'vaccine', 'outbreakdisney', 'shanghai', 'beijing', 'hollywood', 'filming']","['covid', 'california', 'insurance', 'blaze']","['covid', 'california', 'insurance', 'blaze', 'pg']"
